"12/25/2021 20:38","3512B Center (4TN00222)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C"
"Sample #","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature"
226,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
227,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
228,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
229,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
230,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
231,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
232,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,262,Timed Out
233,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
234,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
235,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
236,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
237,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
238,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
239,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
240,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
241,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
